commitment_id,visit_id,dealer_id,sales_person_id,product_id,product_category_id,product_description,quantity_promised,unit_of_measure,commitment_date,expected_order_date,expected_delivery_date,status,converted_order_id,converted_quantity,conversion_date,confidence_score,extraction_source,is_consumed,consumed_by_order_id,notes,created_at,updated_at
19aa1aab-bb52-404c-bbbb-897a309d5d4f,6c09b8c3-28fa-4f5b-9e5a-99ad75294365,0065fc9e-691f-412d-a732-28b741dbb336,fe0888ac-3ea5-4fba-846c-2294c69f1659,72f40484-f49b-4f82-9a99-d22ec799c523,744c7d64-3997-48f3-8de0-3e5b95232570,1 case 2kg,12,PCS,2025-02-01,2025-02-02,2025-02-04,CANCELLED,,0,,0.76,Stock check kiya,0,,,2025-02-01,2025-02-01
76865bef-0977-4e53-b0f7-527674244385,19d36a03-c79f-4e2d-99b3-9b834dc61519,2566205d-339c-4157-a1f7-c907482ec0a3,0de98ea1-d767-49c6-97d0-d792e515bae7,17b438d3-0eb9-4489-843d-67569ab2e171,744c7d64-3997-48f3-8de0-3e5b95232570,1 case 500g,48,PCS,2024-12-07,2024-12-10,2024-12-12,PENDING,,0,,0.92,Delivery chahiye,0,,,2024-12-07,2024-12-07
c89f652e-b6e6-40cd-b5f2-2167e921742b,bb8de21d-f6b5-4206-af8a-1b08971f3ddf,dc84c823-845e-4588-859b-49a7e3d43b3c,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,17b438d3-0eb9-4489-843d-67569ab2e171,744c7d64-3997-48f3-8de0-3e5b95232570,2 cases of 500g,48,PCS,2024-07-13,2024-07-18,2024-07-20,CONVERTED,,48,2024-07-15,0.7,Case order diya,1,,,2024-07-13,2024-07-15
dc23c5be-b041-4c19-b9bf-0f1d77de101b,edc2beeb-2cf3-46f0-842d-7a7a31ceebff,4260ce4c-5209-476c-afb1-655f9e02133d,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,17b438d3-0eb9-4489-843d-67569ab2e171,744c7d64-3997-48f3-8de0-3e5b95232570,48 pcs 500g,48,PCS,2025-01-08,2025-01-10,2025-01-13,PENDING,,0,,0.73,Stock check kiya,0,,,2025-01-08,2025-01-08
77bc32ca-9fe3-454c-9610-dba4aa4872a0,bbd6ecd9-2a6d-4bf0-8ff8-36e3cd6640de,9198bfa1-1b5b-4a67-a310-ac2db2875058,92522288-0375-4a48-a9b2-822815269255,72f40484-f49b-4f82-9a99-d22ec799c523,744c7d64-3997-48f3-8de0-3e5b95232570,6 pcs 2kg,6,PCS,2024-06-05,2024-06-09,2024-06-12,CONVERTED,,6,2024-06-06,0.8,Delivery chahiye,1,,Follow up required,2024-06-05,2024-06-06
787c42e5-73bd-4ade-9048-c60adf0a0ba9,6cd9fce4-256e-49bd-a3e6-5e042f775ba0,3021fc48-2b92-41d2-ae1b-1fdcd120a039,92522288-0375-4a48-a9b2-822815269255,72f40484-f49b-4f82-9a99-d22ec799c523,744c7d64-3997-48f3-8de0-3e5b95232570,6 pcs 2kg,12,PCS,2024-04-13,2024-04-14,2024-04-15,CONVERTED,,12,2024-04-12,0.83,Order liya,1,,,2024-04-13,2024-04-12
cc8ce2de-f44c-48f4-baa4-aa08fe61581b,cb28092e-00dd-486e-a846-f3174ef3e029,34d40fdb-61b7-4fcd-8fd7-b6266b662296,fe0888ac-3ea5-4fba-846c-2294c69f1659,17b438d3-0eb9-4489-843d-67569ab2e171,744c7d64-3997-48f3-8de0-3e5b95232570,48 pcs 500g,72,PCS,2024-06-21,2024-06-27,2024-06-29,CONVERTED,,72,2024-06-26,0.79,Stock check kiya,1,,,2024-06-21,2024-06-26
6e22c268-9e68-45eb-9a47-a2ea54b15983,3840590b-7507-4a1d-be05-fd647c915707,7865188e-8b7d-491c-90b0-ffdd5d703d52,fe0888ac-3ea5-4fba-846c-2294c69f1659,691d2da3-3a95-42f4-af6a-57c1f73652fa,744c7d64-3997-48f3-8de0-3e5b95232570,12 pcs 1kg,12,PCS,2024-09-12,2024-09-16,2024-09-19,CONVERTED,,12,2024-09-19,0.89,Delivery chahiye,1,,,2024-09-12,2024-09-19
dc298c38-afbe-443b-998c-5afe5e336a09,303f189a-edb2-4b5c-907b-9a1baa751808,4260ce4c-5209-476c-afb1-655f9e02133d,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,72f40484-f49b-4f82-9a99-d22ec799c523,744c7d64-3997-48f3-8de0-3e5b95232570,6 pcs 2kg,6,PCS,2024-11-11,2024-11-13,2024-11-15,CONVERTED,,6,2024-11-15,0.92,Case order diya,1,,,2024-11-11,2024-11-15
2c081fe5-fcdf-4e57-814e-6c7720900066,37499b47-4186-45d9-b080-c00e82549352,256796f6-3eaf-4043-91bf-faa41d78325a,0de98ea1-d767-49c6-97d0-d792e515bae7,17b438d3-0eb9-4489-843d-67569ab2e171,744c7d64-3997-48f3-8de0-3e5b95232570,2 cases of 500g,72,PCS,2024-06-06,2024-06-09,2024-06-12,CONVERTED,,72,2024-06-09,0.8,Order liya,1,,,2024-06-06,2024-06-09
