route_id,route_date,vehicle_id,total_capacity,utilized_capacity,status,planned_start_time,actual_start_time,planned_end_time,actual_end_time,total_distance_km,total_stops,created_at,updated_at
23103c24-241a-4f6a-89ba-6e552052169c,2024-03-01,d6f804d6-de2a-4abc-a548-3b2120173655,250,205,COMPLETED,08:00:00,09:20:00,14:00:00,16:39:00,27.8,9,2024-02-29,2024-03-01
75d52dd7-3d92-49fe-83a3-09663b823c5e,2024-03-04,d613750f-7244-4422-a084-da603cde7145,500,288,COMPLETED,07:00:00,06:52:00,15:00:00,15:47:00,24.4,5,2024-03-03,2024-03-04
b7bb0030-0257-4f65-88e2-b21eab671949,2024-03-06,d613750f-7244-4422-a084-da603cde7145,500,408,COMPLETED,07:00:00,08:34:00,17:00:00,16:36:00,59.6,10,2024-03-05,2024-03-06
e45992c8-cdb2-46af-96c4-526d46e13859,2024-03-07,d613750f-7244-4422-a084-da603cde7145,500,388,COMPLETED,07:00:00,07:33:00,14:00:00,17:37:00,56.3,5,2024-03-06,2024-03-07
a71e41a4-9982-486b-a0c8-df49c68fe10e,2024-03-08,d6f804d6-de2a-4abc-a548-3b2120173655,250,146,COMPLETED,07:00:00,07:11:00,14:00:00,15:27:00,38.4,10,2024-03-07,2024-03-08
bbf8d5db-ecc4-4b16-8591-12e8b3f9167c,2024-03-09,d613750f-7244-4422-a084-da603cde7145,500,431,COMPLETED,07:00:00,07:37:00,14:00:00,17:48:00,41.8,6,2024-03-08,2024-03-09
04fac937-d334-4c6b-99d6-141afd9bfb54,2024-03-11,d6f804d6-de2a-4abc-a548-3b2120173655,250,189,COMPLETED,08:00:00,08:17:00,16:00:00,18:04:00,41.8,4,2024-03-10,2024-03-11
7b0574c9-5403-4473-a2bb-9c5fbc6a435e,2024-03-12,d613750f-7244-4422-a084-da603cde7145,500,318,COMPLETED,08:00:00,07:20:00,16:00:00,16:14:00,49.5,4,2024-03-11,2024-03-12
be6255f3-06af-4916-9ffd-b86a2fb88fae,2024-03-15,d613750f-7244-4422-a084-da603cde7145,500,317,COMPLETED,07:00:00,06:08:00,15:00:00,15:59:00,27.2,10,2024-03-14,2024-03-15
295cf0d1-f1e0-4da0-ae10-50154c771088,2024-03-19,d6f804d6-de2a-4abc-a548-3b2120173655,250,209,COMPLETED,07:00:00,06:04:00,14:00:00,14:14:00,22.7,6,2024-03-18,2024-03-19
1ea8dc26-1fc3-420d-8de0-c827fcca396a,2024-03-20,d613750f-7244-4422-a084-da603cde7145,500,358,COMPLETED,08:00:00,08:50:00,18:00:00,17:08:00,37.6,7,2024-03-19,2024-03-20
ed336375-ef1a-4869-a6cc-e5a216e4ea72,2024-03-21,d6f804d6-de2a-4abc-a548-3b2120173655,250,165,COMPLETED,08:00:00,08:58:00,16:00:00,17:18:00,50.1,10,2024-03-20,2024-03-21
4871ad60-5ba5-4680-bcd9-e33515f3ea26,2024-03-22,d613750f-7244-4422-a084-da603cde7145,500,301,COMPLETED,08:00:00,09:38:00,18:00:00,18:06:00,47.8,7,2024-03-21,2024-03-22
99419cb6-2e62-4407-ac77-bd167cb7a16b,2024-03-25,d613750f-7244-4422-a084-da603cde7145,500,372,COMPLETED,08:00:00,08:48:00,15:00:00,17:49:00,33.0,4,2024-03-24,2024-03-25
9c2f8920-a07f-4ed2-a109-2ebd68074f0e,2024-03-27,d613750f-7244-4422-a084-da603cde7145,500,267,COMPLETED,07:00:00,07:54:00,17:00:00,17:15:00,59.7,4,2024-03-26,2024-03-27
02fb9c52-3c97-4fb5-bced-3a03f495bada,2024-03-28,d613750f-7244-4422-a084-da603cde7145,500,396,COMPLETED,08:00:00,07:37:00,18:00:00,16:43:00,21.9,9,2024-03-27,2024-03-28
4b4db9b5-5fa8-4ebd-a214-9a5e3fc55366,2024-03-30,d613750f-7244-4422-a084-da603cde7145,500,396,COMPLETED,07:00:00,06:39:00,15:00:00,13:30:00,30.3,10,2024-03-29,2024-03-30
1c1d1ea7-fb80-4379-ab95-75ca10540a23,2024-04-01,d6f804d6-de2a-4abc-a548-3b2120173655,250,151,COMPLETED,08:00:00,08:58:00,17:00:00,15:28:00,56.5,8,2024-03-31,2024-04-01
ad219169-f0fe-42bf-b54e-ac1affb70f76,2024-04-04,d6f804d6-de2a-4abc-a548-3b2120173655,250,206,COMPLETED,08:00:00,07:29:00,16:00:00,13:26:00,42.3,7,2024-04-03,2024-04-04
fa9fdba1-647e-4c19-8f82-176768b3712e,2024-04-05,d6f804d6-de2a-4abc-a548-3b2120173655,250,137,COMPLETED,08:00:00,07:13:00,17:00:00,16:38:00,54.7,8,2024-04-04,2024-04-05
ccc2d2fb-b944-4d45-9749-debb2774b992,2024-04-06,d6f804d6-de2a-4abc-a548-3b2120173655,250,133,COMPLETED,08:00:00,09:38:00,15:00:00,15:34:00,40.7,7,2024-04-05,2024-04-06
c8e3dc83-d1e0-4768-b065-717d5a831807,2024-04-09,d613750f-7244-4422-a084-da603cde7145,500,285,CANCELLED,07:00:00,,14:00:00,,28.7,7,2024-04-08,2024-04-08
fb6d8e42-69f1-4d40-9feb-d1d199e436ca,2024-04-13,d6f804d6-de2a-4abc-a548-3b2120173655,250,172,COMPLETED,08:00:00,07:10:00,16:00:00,13:38:00,27.7,5,2024-04-12,2024-04-13
f82f7b9e-b14f-4ab9-a089-d98d7941a464,2024-04-15,d6f804d6-de2a-4abc-a548-3b2120173655,250,154,COMPLETED,07:00:00,08:11:00,18:00:00,16:01:00,55.8,9,2024-04-14,2024-04-15
039cb332-b125-4a1e-bc90-f949bf164c4e,2024-04-17,d613750f-7244-4422-a084-da603cde7145,500,261,COMPLETED,07:00:00,06:36:00,14:00:00,16:10:00,50.5,8,2024-04-16,2024-04-17
71dd6d1b-820e-4787-94ae-717481c6492d,2024-04-18,d6f804d6-de2a-4abc-a548-3b2120173655,250,173,COMPLETED,08:00:00,08:58:00,17:00:00,18:13:00,27.7,4,2024-04-17,2024-04-18
86218756-4301-47e0-8251-6c7c6a1a05ac,2024-04-19,d613750f-7244-4422-a084-da603cde7145,500,369,COMPLETED,07:00:00,07:22:00,14:00:00,14:31:00,55.5,7,2024-04-18,2024-04-19
bf9de96d-3062-4c12-ba93-ce5acfa68dba,2024-04-23,d613750f-7244-4422-a084-da603cde7145,500,310,COMPLETED,08:00:00,08:36:00,18:00:00,14:35:00,52.5,6,2024-04-22,2024-04-23
9b288f2d-30d5-4981-8427-de2da5df253a,2024-04-24,d613750f-7244-4422-a084-da603cde7145,500,250,COMPLETED,08:00:00,09:47:00,17:00:00,17:15:00,40.5,10,2024-04-23,2024-04-24
96c3923e-908e-4bcf-b71c-14840e518131,2024-04-25,d6f804d6-de2a-4abc-a548-3b2120173655,250,128,COMPLETED,08:00:00,09:22:00,18:00:00,16:44:00,22.2,6,2024-04-24,2024-04-25
64f3fc06-720f-4603-94a1-43ed4287faa8,2024-04-27,d6f804d6-de2a-4abc-a548-3b2120173655,250,161,COMPLETED,08:00:00,09:52:00,18:00:00,19:30:00,25.6,5,2024-04-26,2024-04-27
c2784cd5-0470-4fcb-87bb-165872aa1bab,2024-04-30,d6f804d6-de2a-4abc-a548-3b2120173655,250,129,COMPLETED,08:00:00,09:15:00,14:00:00,16:56:00,27.4,10,2024-04-29,2024-04-30
5442449d-60ce-4903-b1aa-f574e4febe47,2024-05-01,d6f804d6-de2a-4abc-a548-3b2120173655,250,151,COMPLETED,08:00:00,08:40:00,14:00:00,15:43:00,38.1,4,2024-04-30,2024-05-01
5b24f66a-5657-4e96-a441-41a9c1301c53,2024-05-02,d613750f-7244-4422-a084-da603cde7145,500,316,COMPLETED,08:00:00,08:09:00,15:00:00,18:24:00,46.7,7,2024-05-01,2024-05-02
9864108e-be36-405c-b431-c946f55338a3,2024-05-03,d613750f-7244-4422-a084-da603cde7145,500,441,COMPLETED,07:00:00,07:12:00,18:00:00,13:25:00,27.2,7,2024-05-02,2024-05-03
85e04f4a-3e57-40d2-91a1-47b2ba0a9af3,2024-05-06,d6f804d6-de2a-4abc-a548-3b2120173655,250,126,COMPLETED,07:00:00,07:13:00,17:00:00,14:10:00,58.5,8,2024-05-05,2024-05-06
9cc9efd5-acd8-4453-80a2-1b90436a1c5f,2024-05-07,d6f804d6-de2a-4abc-a548-3b2120173655,250,152,COMPLETED,08:00:00,07:18:00,16:00:00,15:16:00,47.2,4,2024-05-06,2024-05-07
896fab95-2183-40d2-8c6c-0691a49e0d77,2024-05-08,d613750f-7244-4422-a084-da603cde7145,500,432,COMPLETED,08:00:00,08:01:00,16:00:00,18:17:00,32.0,8,2024-05-07,2024-05-08
