invoice_id,invoice_number,order_id,dealer_id,invoice_date,due_date,subtotal,discount_amount,cgst_amount,sgst_amount,igst_amount,cess_amount,total_tax,total_amount,amount_paid,status,created_at,updated_at
7c624b7c-1372-4127-8e13-99b4bba3187f,INV-2024-0001,53871747-774d-4e88-a954-0b65385304aa,ebecfffa-f6cf-46ab-98b0-2cba276c61e7,2024-03-01,2024-03-16,4704.0,94.08,414.89,414.89,0,0,829.78,5439.7,0,OVERDUE,2024-03-01,2024-03-01
e99ee96a-aca2-478f-8a8b-3cd288f3d4c2,INV-2024-0002,35108805-4f17-46b3-8adc-3a93d1c602e0,68f1b083-a966-45d7-9568-8fe0199280cf,2024-03-01,2024-03-08,3264.0,0,293.76,293.76,0,0,587.52,3851.52,3851.52,PAID,2024-03-01,2024-03-01
53f91f6e-06ef-48f2-9224-34f1d9e686b2,INV-2024-0003,6c96fcde-45db-4d7c-bbfc-bfd6889da57a,de4699bf-d9e7-45b9-9875-43405fdc2981,2024-03-01,2024-03-16,2448.0,48.96,215.91,215.91,0,0,431.82,2830.86,0,OVERDUE,2024-03-01,2024-03-01
d1974686-acda-4040-b89b-ae0c72f1eadc,INV-2024-0004,b55f9052-033c-411f-848c-b59dec789663,34d40fdb-61b7-4fcd-8fd7-b6266b662296,2024-03-01,2024-03-08,6720.0,0,604.8,604.8,0,0,1209.6,7929.6,0,OVERDUE,2024-03-01,2024-03-01
b2095734-a744-49af-b256-d4725a23460b,INV-2024-0005,5922b7b1-ca66-44d6-b26d-ba3d5451a60c,7865188e-8b7d-491c-90b0-ffdd5d703d52,2024-03-02,2024-03-09,3451.45,0,310.63,310.63,0,0,621.26,4072.71,4072.71,PAID,2024-03-02,2024-03-02
2581e145-d943-40d5-8c18-e81189ef6e82,INV-2024-0006,accc8c36-ce72-40cc-b865-25a0a0a70f4a,766f55c6-bd8d-414d-b481-b315180fd94a,2024-03-02,2024-03-09,1632.0,0,146.88,146.88,0,0,293.76,1925.76,0,OVERDUE,2024-03-02,2024-03-02
6551cfcd-d767-45e8-8562-629f95de4b2c,INV-2024-0007,5fbb9533-46d8-4ef2-b403-8496c3aff3ff,ebecfffa-f6cf-46ab-98b0-2cba276c61e7,2024-03-02,2024-03-09,5856.0,0,527.04,527.04,0,0,1054.08,6910.08,6910.08,PAID,2024-03-02,2024-03-02
31c49704-2301-4bc4-9456-296b9b5302a6,INV-2024-0008,7e3e0edb-4062-497d-8fcc-9833db8f13c7,4260ce4c-5209-476c-afb1-655f9e02133d,2024-03-03,2024-03-10,3144.12,0,282.97,282.97,0,0,565.94,3710.06,3710.06,PAID,2024-03-03,2024-03-03
23dc9887-da62-454c-a070-c59a48d80b66,INV-2024-0009,f30ced01-52df-465d-a731-d9ba9cc080d1,2566205d-339c-4157-a1f7-c907482ec0a3,2024-03-04,2024-03-19,3269.49,0,294.25,294.25,0,0,588.5,3857.99,3857.99,PAID,2024-03-04,2024-03-04
58683f02-137b-4105-8898-0ab367b50e6e,INV-2024-0010,dd8de212-4254-4a31-817a-2dd400ed7f9d,3021fc48-2b92-41d2-ae1b-1fdcd120a039,2024-03-04,2024-03-19,1728.0,0,155.52,155.52,0,0,311.04,2039.04,0,OVERDUE,2024-03-04,2024-03-04
adf6005d-4d18-4e95-b57c-b6008fca9620,INV-2024-0011,cae1b22e-55d4-4ad9-90ec-f3df7bc50b69,4260ce4c-5209-476c-afb1-655f9e02133d,2024-03-05,2024-03-12,864.0,0,77.76,77.76,0,0,155.52,1019.52,1019.52,PAID,2024-03-05,2024-03-05
