issue_id,dealer_id,sales_person_id,visit_id,issue_type,priority,subject,description,order_id,product_id,status,assigned_to,resolution,resolved_at,created_at,updated_at
8e672001-45e7-44b1-a51d-ab85a3db0737,ebecfffa-f6cf-46ab-98b0-2cba276c61e7,fe0888ac-3ea5-4fba-846c-2294c69f1659,8d797c65-e4fb-4833-b46c-d32381b9b8fd,QUALITY,MEDIUM,Damaged packaging,Issue reported by DLR009: Damaged packaging,3f80c8e4-d7e6-4598-800e-f45979631056,691d2da3-3a95-42f4-af6a-57c1f73652fa,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2025-02-20,2025-02-15,2025-02-20
b8320edb-76c5-49a4-9bf8-0458a79201e1,fd656c0c-f9a1-4da7-a4c7-8f457f619af2,92522288-0375-4a48-a9b2-822815269255,d9d5282b-93f6-4f24-8afd-bf46e2d1d1d3,DELIVERY,MEDIUM,Partial delivery received,Issue reported by DLR017: Partial delivery received,97a4b880-02fd-4e8b-aeca-d37acdeb2cfc,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-12-17,2024-12-13,2024-12-17
29f5d159-b663-4528-bc4a-d3f6da925f18,3ea93ee6-b253-4e80-95fc-b60b17ab090e,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,,DELIVERY,MEDIUM,Wrong delivery address,Issue reported by DLR039: Wrong delivery address,e128359a-41a0-49e1-b384-4308e66dd9bd,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-11-27,2024-11-25,2024-11-27
dbbee71a-0203-4d6b-bb96-e99b41bb595d,6768cbbe-636f-40da-9bdd-6bfbbfd44019,fe0888ac-3ea5-4fba-846c-2294c69f1659,e82b7737-3f8c-4950-a925-2b110a245898,DELIVERY,HIGH,Missing items in delivery,Issue reported by DLR006: Missing items in delivery,7543ca9c-b49a-4aeb-80d6-d6d23dcdd925,,CLOSED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-03-19,2024-03-18,2024-03-19
2e363835-b1df-4545-8b59-1c860bb9cf97,dc84c823-845e-4588-859b-49a7e3d43b3c,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,40b4f47b-55c2-4e2d-be68-ecea57324fd8,QUALITY,LOW,Damp packets in batch,Issue reported by DLR034: Damp packets in batch,bae9cc9b-c78f-401f-96d6-9b7242920708,72f40484-f49b-4f82-9a99-d22ec799c523,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-04-13,2024-04-07,2024-04-13
ff612ba0-6fca-457f-8b76-bfe70856f4dc,5881aaf5-037c-4728-9071-8b104e5413dc,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,,DELIVERY,MEDIUM,Late delivery - Order ORD-2024-0522,Issue reported by DLR038: Late delivery - Order ORD-2024-0522,a2915853-3b42-4809-a60e-aecf066e2545,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2025-02-07,2025-01-27,2025-02-07
baafe848-fdc2-4ac7-a512-f1728493c3f5,de4699bf-d9e7-45b9-9875-43405fdc2981,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,ed95ab05-6831-4b1a-8f93-0ea1216bbd0f,DELIVERY,HIGH,Wrong delivery address,Issue reported by DLR037: Wrong delivery address,295b7102-b1dd-4c6c-b1a3-b5b29c1575ce,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-07-29,2024-07-19,2024-07-29
f0b1e904-e060-4655-b1ee-8a35b9e6c25d,587fe5f4-a612-4ee8-8f98-b53fbc7c5b51,0de98ea1-d767-49c6-97d0-d792e515bae7,964e7307-45c6-47ed-8d70-776221023049,DELIVERY,MEDIUM,Missing items in delivery,Issue reported by DLR021: Missing items in delivery,234210d2-e4b3-4c17-8f3f-08f330b946a4,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-03-28,2024-03-24,2024-03-28
ef702e05-48bf-43c9-897f-fd86e44570d1,412af8cf-f49a-46c9-86fd-ee8fc3a1512e,0de98ea1-d767-49c6-97d0-d792e515bae7,,PRICING,MEDIUM,Invoice amount mismatch,Issue reported by DLR027: Invoice amount mismatch,,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-10-25,2024-10-22,2024-10-25
e618e59b-cb56-4302-95a6-0eaa8d1ab925,ebecfffa-f6cf-46ab-98b0-2cba276c61e7,fe0888ac-3ea5-4fba-846c-2294c69f1659,6938ea92-e8c3-4ba4-9af6-b23f52208ab2,DELIVERY,MEDIUM,Late delivery - Order ORD-2024-0738,Issue reported by DLR009: Late delivery - Order ORD-2024-0738,75038bc9-dbd3-4845-be8a-fdbd980773aa,,CLOSED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-12-31,2024-12-26,2024-12-31
