split_id,original_order_id,split_order_id,split_reason,original_quantity,original_delivery_date,split_quantity,new_delivery_date,discount_offered,discount_approved,discount_approved_by,discount_approved_at,alert_id,created_by,created_at
30c3dfdd-703b-4567-baba-6c9366cf51dc,22c8f1a0-9909-4799-afc2-bc7f33019a08,79b6ec0c-ba2a-47b2-a353-4bb3e11c24bb,STOCK_UNAVAILABLE,71,2024-06-15,32,2024-06-17,2.7,1,c361d450-2f4c-46b8-a441-3f819e888d3b,2024-06-13 14:00:00,,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,2024-06-13
75ea6845-b781-4625-93dc-ce00033ea1b6,e7095d25-7f01-49ff-864d-1eaed6627fb4,a301d546-90db-4d51-a09e-7eb64881c1bd,STOCK_UNAVAILABLE,66,2024-05-23,29,2024-05-26,0,0,,,,92522288-0375-4a48-a9b2-822815269255,2024-05-21
3ead8645-63dd-460b-83cb-04b90b5eecbd,ac8ee354-3ac0-416b-ad11-bd61ac640dc4,2259cbad-7a06-4e2a-9353-cce9bf4167be,CAPACITY_CONSTRAINT,29,2024-12-04,12,2024-12-07,2.8,1,c361d450-2f4c-46b8-a441-3f819e888d3b,2024-12-02 16:00:00,,fe0888ac-3ea5-4fba-846c-2294c69f1659,2024-12-02
32d2cd16-5ae6-4920-aef0-d7cac626756b,d19b17e3-7beb-4f6e-98bf-9c9ca54e0cd7,c15eb816-1e96-43aa-b8ae-c6c59b66e110,CAPACITY_CONSTRAINT,63,2024-11-09,27,2024-11-11,2.9,1,c361d450-2f4c-46b8-a441-3f819e888d3b,2024-11-07 12:00:00,,0de98ea1-d767-49c6-97d0-d792e515bae7,2024-11-07
f969f9df-4d3d-47fb-8530-bce6e8641798,b411f608-1efb-4840-bf0a-c0241f7c0a30,a1f75be2-d996-4a45-abdf-4b8d539aaa74,CAPACITY_CONSTRAINT,34,2024-11-03,11,2024-11-06,2.2,1,c361d450-2f4c-46b8-a441-3f819e888d3b,2024-11-01 15:00:00,,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,2024-11-01
2cb29705-4a16-4c7d-923d-4ebd41c1ad50,ea6d484b-ac38-4a50-a88d-79374eff3c52,e8456fe0-5a74-4dae-9303-62677d2ac466,CAPACITY_CONSTRAINT,44,2024-10-02,21,2024-10-04,0,0,,,,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,2024-09-30
7a3d85c3-860d-4c8e-bd7e-0240df97316a,beaeee78-16ea-4683-a927-02167c642326,9829a7c2-6ab9-496b-8c0e-d2d5e2ddccf4,CAPACITY_CONSTRAINT,72,2024-03-23,34,2024-03-25,2.1,1,c361d450-2f4c-46b8-a441-3f819e888d3b,2024-03-21 13:00:00,,0de98ea1-d767-49c6-97d0-d792e515bae7,2024-03-21
ae901361-1cac-4d04-9fd5-cfe41de75cbe,9388bcb8-baa9-40e1-a905-e8335781107a,183395ab-a28a-408b-93eb-bb59e331e6d7,CAPACITY_CONSTRAINT,49,2024-04-25,21,2024-04-29,2.2,1,c361d450-2f4c-46b8-a441-3f819e888d3b,2024-04-23 10:00:00,,0de98ea1-d767-49c6-97d0-d792e515bae7,2024-04-23
7833ffa4-596e-479b-b8b6-5971391c7666,35f61c6b-4826-4bbb-8afb-265078ef086b,acc06b05-c0e5-4b84-838f-e5300a008abf,STOCK_UNAVAILABLE,28,2024-04-18,12,2024-04-20,0,0,,,,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,2024-04-16
775fd897-9349-49e3-9804-410bc93fb5c6,9a87ab64-d463-490c-801e-fda48dafe06a,60104d9a-4001-4e3e-96c5-08dee00a7c92,CAPACITY_CONSTRAINT,62,2024-07-11,27,2024-07-13,0,0,,,,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,2024-07-09
1a831fe5-c2e8-48c9-b0b0-93b54d811b98,8134a890-2753-4398-acbf-a0671b3a7379,101efdfd-493b-4bc5-8645-aa73accf44e3,STOCK_UNAVAILABLE,61,2024-12-08,19,2024-12-10,0,0,,,,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,2024-12-06
5adefc8f-fb86-47dc-970d-f67973d00a76,d6d00704-f4b0-49d8-b8ea-1838194c3790,958a3c14-36d7-4108-a510-d611801890fa,STOCK_UNAVAILABLE,32,2024-08-23,15,2024-08-26,0,0,,,,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,2024-08-21
1e071444-e0a4-45f4-a4ab-bdf6adf52126,6c899ba3-8a66-43b9-b0c7-4d26cce7ca1a,699f6a07-2505-4d96-a3f3-b11aa30914fc,CAPACITY_CONSTRAINT,40,2024-03-30,12,2024-04-02,2.8,1,c361d450-2f4c-46b8-a441-3f819e888d3b,2024-03-28 10:00:00,,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,2024-03-28
f075ec6c-7a31-455c-8139-7ecd0b06aa41,41b0588b-e6c8-46e7-955e-9e1bf1fb3b04,db809a50-47a3-4299-9bf9-a10eba8a7f52,CAPACITY_CONSTRAINT,47,2025-01-13,20,2025-01-16,2.7,0,,,,0de98ea1-d767-49c6-97d0-d792e515bae7,2025-01-11
54849f97-2fc8-4e16-898e-11dd7066abab,8b32f98d-58b1-4af1-920d-404c0198b6e6,def0d151-f536-41a0-a747-d77a315619d0,STOCK_UNAVAILABLE,57,2024-08-24,28,2024-08-27,0,0,,,,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,2024-08-22
