payment_id,payment_number,dealer_id,invoice_id,amount,payment_date,payment_mode,reference_number,bank_name,collected_by,visit_id,status,notes,created_at,updated_at
625a201f-bb4a-4d80-802e-3857701b4606,PAY-2024-0001,7114cd1c-d765-471a-bbf0-5660d28756dc,a3a397dd-4f75-43b3-90d9-ed65018265a6,1019.52,2024-10-30,CASH,,,0de98ea1-d767-49c6-97d0-d792e515bae7,,COMPLETED,,2024-10-30,2024-10-30
4df60115-a702-43b7-8dd7-89eb5aadaeb6,PAY-2024-0002,22e73046-8fe1-47f8-b7e2-c67e1cc1a458,a0b7d54e-06a2-489c-a3e0-cdd0fdb1bfe7,2997.38,2024-03-23,UPI,TXN549661,,,,COMPLETED,,2024-03-23,2024-03-23
1bebb4c9-8832-4c4e-acb9-05a58350e8c2,PAY-2024-0003,22e73046-8fe1-47f8-b7e2-c67e1cc1a458,a0b7d54e-06a2-489c-a3e0-cdd0fdb1bfe7,0.0,2024-03-24,NEFT,TXN407395,Yes Bank,,,COMPLETED,,2024-03-24,2024-03-24
7817e0f0-db1d-4f55-95c3-cca773118803,PAY-2024-0004,9580c8f6-6df1-4dd7-b0aa-6bfc58b89c5c,86db02bd-c3ae-4b03-ae5b-f7bc00fa45cf,2416.21,2024-10-21,CASH,,,92522288-0375-4a48-a9b2-822815269255,,COMPLETED,,2024-10-21,2024-10-21
783de836-0b05-41a4-b1ad-189c5e13480b,PAY-2024-0005,22e73046-8fe1-47f8-b7e2-c67e1cc1a458,04e0dde0-da9f-4f39-a1e0-b01aee9fd74e,1925.76,2024-05-21,NEFT,TXN914538,Punjab National Bank,,,COMPLETED,,2024-05-21,2024-05-21
92a6581d-ae3e-48d0-b6d2-e80d5a843574,PAY-2025-0006,0065fc9e-691f-412d-a732-28b741dbb336,cc668ec4-e0de-46a8-a1d6-1942fce603b6,943.62,2025-01-02,NEFT,TXN967182,ICICI Bank,,,COMPLETED,,2025-01-02,2025-01-02
139e304c-1bbb-4a26-b5c1-6de170d8bd1e,PAY-2024-0007,a1165b38-7316-4cb3-85a9-b3308a230b7c,fdb8faa7-4c79-4621-9dc0-2c1493ac7e73,1845.01,2024-09-04,CHEQUE,TXN542059,Kotak Mahindra Bank,,,COMPLETED,,2024-09-04,2024-09-04
64bf52a9-054c-423d-b645-d32dba4d5147,PAY-2024-0008,7178f55e-6bbc-4f51-8768-e2277e170ca5,ddfdee8e-5296-4b77-b044-3f58cbe79582,5947.2,2024-11-16,NEFT,TXN957728,Yes Bank,,,COMPLETED,,2024-11-16,2024-11-16
0689694c-4696-4d85-b66d-cf4b071f5337,PAY-2024-0009,cbdda1a1-3a43-475c-a2f8-6dce82d99f2f,2063d664-3fbc-455d-aac1-bdd8cde094ae,900.63,2024-10-29,CASH,,,0de98ea1-d767-49c6-97d0-d792e515bae7,,COMPLETED,,2024-10-29,2024-10-29
4f6e2358-f490-48c7-b5c4-4b110a29ed5a,PAY-2024-0010,7865188e-8b7d-491c-90b0-ffdd5d703d52,2aae46ab-29b4-44e9-afee-e41f8d4e7e7c,2034.41,2024-04-06,CASH,,,c361d450-2f4c-46b8-a441-3f819e888d3b,,COMPLETED,,2024-04-06,2024-04-06
db94a154-716e-4677-b054-67e1068cac16,PAY-2024-0011,8964dfde-f9d0-4250-91ce-6b245cb1ce68,03ddc7e1-1a0b-44f2-bbb3-d80a10c60711,2888.64,2024-08-28,UPI,TXN312832,,,,COMPLETED,,2024-08-28,2024-08-28
b52302f3-0856-4c32-a51b-5f6509bf036e,PAY-2024-0012,3021fc48-2b92-41d2-ae1b-1fdcd120a039,6414d0de-eb54-4238-bfad-ca4415c552a5,3964.8,2024-03-29,UPI,TXN838841,,,,COMPLETED,,2024-03-29,2024-03-29
685d7eeb-952f-401f-b3e3-5fd40528e670,PAY-2024-0013,493470d1-7f49-4d7f-88c7-30d85187f126,96c2bec3-2834-4111-bf0e-48cac279c05d,799.94,2024-08-25,CHEQUE,TXN388738,State Bank of India,,,COMPLETED,,2024-08-25,2024-08-25
9134105e-57a0-4616-b51b-292c9b45763f,PAY-2024-0014,afefc15d-6186-4e28-b665-0c08ecf4a9ab,c1ac0850-538d-4fde-ba69-2b982a7a52da,7929.6,2024-07-15,CASH,,,c361d450-2f4c-46b8-a441-3f819e888d3b,,COMPLETED,,2024-07-15,2024-07-15
4c3a80bc-1c8a-4ffc-bf0f-583e3710c7b4,PAY-2024-0015,a1165b38-7316-4cb3-85a9-b3308a230b7c,7314fbe9-c136-4fb8-a1cc-990d9c9932bb,4078.08,2024-04-14,UPI,TXN241777,,,,COMPLETED,,2024-04-14,2024-04-14
df9b61b1-ce00-4baa-91c6-37aaa35b3969,PAY-2024-0016,412af8cf-f49a-46c9-86fd-ee8fc3a1512e,bf246144-c189-48eb-9f0a-609994c93189,985.42,2024-09-28,CASH,,,c361d450-2f4c-46b8-a441-3f819e888d3b,,COMPLETED,,2024-09-28,2024-09-28
ee6ca76a-d207-47cb-9176-cf4acbbf5479,PAY-2024-0017,115804b5-d9c6-401e-a450-d16354ecaf2d,c12aadd2-666d-48fa-8be7-3e6ba65d8b33,1925.76,2024-07-02,UPI,TXN201128,,,,COMPLETED,,2024-07-02,2024-07-02
