schedule_id,product_id,planned_date,planned_qty,actual_qty,status,created_at,updated_at
ace44b72-d8a9-484a-a2dc-34b30f7676e2,691d2da3-3a95-42f4-af6a-57c1f73652fa,2024-03-08,131,135,COMPLETED,2024-03-01,2024-03-08
99f364fe-029f-4933-ae1d-85710da14107,17b438d3-0eb9-4489-843d-67569ab2e171,2024-03-09,189,197,COMPLETED,2024-03-02,2024-03-09
0835969f-3699-48fc-abb8-d600bfec952b,17b438d3-0eb9-4489-843d-67569ab2e171,2024-03-13,173,176,COMPLETED,2024-03-06,2024-03-13
32188980-bbfb-4fb4-8d9a-5041bf3d5e2f,17b438d3-0eb9-4489-843d-67569ab2e171,2024-03-14,153,139,COMPLETED,2024-03-07,2024-03-14
7eddb6b2-5d67-45c0-a0fa-5a2227193218,17b438d3-0eb9-4489-843d-67569ab2e171,2024-03-16,65,62,COMPLETED,2024-03-09,2024-03-16
c8fab5bd-7e22-4e65-9462-1b7055d38728,17b438d3-0eb9-4489-843d-67569ab2e171,2024-03-18,168,166,COMPLETED,2024-03-11,2024-03-18
7980cf3f-a9f6-479b-aab2-7ba440571488,17b438d3-0eb9-4489-843d-67569ab2e171,2024-03-20,130,123,COMPLETED,2024-03-13,2024-03-20
51bb8ec0-4af1-4c22-a1b6-6b2926f7e320,72f40484-f49b-4f82-9a99-d22ec799c523,2024-03-22,61,61,IN_PROGRESS,2024-03-15,2024-03-15
836b15cc-c186-4ff5-8726-e5f57d37176e,17b438d3-0eb9-4489-843d-67569ab2e171,2024-03-25,83,81,COMPLETED,2024-03-18,2024-03-25
c2685082-b072-414a-bfe5-aa40b5fc2aa5,72f40484-f49b-4f82-9a99-d22ec799c523,2024-03-27,53,51,COMPLETED,2024-03-20,2024-03-27
35130888-01f6-4cf4-8323-f3382e91b998,72f40484-f49b-4f82-9a99-d22ec799c523,2024-03-28,58,53,COMPLETED,2024-03-21,2024-03-28
64ad99aa-24e8-45c6-ac48-8af3401bb805,17b438d3-0eb9-4489-843d-67569ab2e171,2024-04-06,62,59,COMPLETED,2024-03-30,2024-04-06
6785bb6b-6dd1-4711-bf63-1f7d57f3b0d6,17b438d3-0eb9-4489-843d-67569ab2e171,2024-04-08,157,161,COMPLETED,2024-04-01,2024-04-08
a31a6174-9cba-4580-a6cd-33f46cf53a86,17b438d3-0eb9-4489-843d-67569ab2e171,2024-04-09,90,93,COMPLETED,2024-04-02,2024-04-09
51dc1378-8dce-4edf-a00e-92fe815c87b0,17b438d3-0eb9-4489-843d-67569ab2e171,2024-04-10,130,120,COMPLETED,2024-04-03,2024-04-10
3d391e10-a223-4b16-8034-90e769fc5e5b,691d2da3-3a95-42f4-af6a-57c1f73652fa,2024-04-13,115,118,COMPLETED,2024-04-06,2024-04-13
7163c766-564c-46f3-9c47-967233a96847,17b438d3-0eb9-4489-843d-67569ab2e171,2024-04-16,177,184,COMPLETED,2024-04-09,2024-04-16
245fd53e-8396-4b56-9411-fe52e6997402,17b438d3-0eb9-4489-843d-67569ab2e171,2024-04-18,179,167,COMPLETED,2024-04-11,2024-04-18
8caa180c-78f6-494b-b0ff-125296a8cd38,691d2da3-3a95-42f4-af6a-57c1f73652fa,2024-04-19,124,112,COMPLETED,2024-04-12,2024-04-19
29e05726-11ec-4613-a59c-0c112016198f,17b438d3-0eb9-4489-843d-67569ab2e171,2024-04-20,176,180,COMPLETED,2024-04-13,2024-04-20
e5eee3b1-4b76-4105-b416-30d3787f48be,691d2da3-3a95-42f4-af6a-57c1f73652fa,2024-04-22,136,133,COMPLETED,2024-04-15,2024-04-22
765dc107-5039-4e1e-b956-e258b1decf37,17b438d3-0eb9-4489-843d-67569ab2e171,2024-04-24,77,79,COMPLETED,2024-04-17,2024-04-24
63534994-f5c1-467c-9fd2-ab2d719e826e,72f40484-f49b-4f82-9a99-d22ec799c523,2024-04-29,73,70,COMPLETED,2024-04-22,2024-04-29
01dbef5d-8438-4f1b-b6ce-015689b1a987,17b438d3-0eb9-4489-843d-67569ab2e171,2024-05-02,61,60,COMPLETED,2024-04-25,2024-05-02
3bed1a72-4613-41a8-9e89-7c61f664d561,17b438d3-0eb9-4489-843d-67569ab2e171,2024-05-07,99,93,COMPLETED,2024-04-30,2024-05-07
5fee2b68-ea1e-4fb8-ad19-5630f8e6e9e0,17b438d3-0eb9-4489-843d-67569ab2e171,2024-05-08,148,150,COMPLETED,2024-05-01,2024-05-08
32bf2d90-6f87-4b5a-8cd7-7b7cedf033f1,17b438d3-0eb9-4489-843d-67569ab2e171,2024-05-10,121,120,COMPLETED,2024-05-03,2024-05-10
e8febb24-feae-4c30-a5b4-f6da5f544b46,17b438d3-0eb9-4489-843d-67569ab2e171,2024-05-13,80,73,COMPLETED,2024-05-06,2024-05-13
2ce3bb1e-b6f0-483d-beb1-b8995824fcc3,72f40484-f49b-4f82-9a99-d22ec799c523,2024-05-15,61,58,COMPLETED,2024-05-08,2024-05-15
76c04380-0dfc-4652-a4bc-6f7ccdc53312,17b438d3-0eb9-4489-843d-67569ab2e171,2024-05-18,143,132,COMPLETED,2024-05-11,2024-05-18
16f760eb-962d-4859-946e-b7f0bd134f70,17b438d3-0eb9-4489-843d-67569ab2e171,2024-05-21,180,163,COMPLETED,2024-05-14,2024-05-21
9c70d176-a842-4ec3-a4b7-eb2db3e3c45a,17b438d3-0eb9-4489-843d-67569ab2e171,2024-05-22,59,56,COMPLETED,2024-05-15,2024-05-22
d8299753-6a5d-4dd3-b419-620df8f58b49,17b438d3-0eb9-4489-843d-67569ab2e171,2024-05-23,171,157,COMPLETED,2024-05-16,2024-05-23
fba912f8-22bc-4e03-b0a2-6a6e903f8633,691d2da3-3a95-42f4-af6a-57c1f73652fa,2024-05-24,115,119,COMPLETED,2024-05-17,2024-05-24
ce17b6f7-69a3-40a7-9783-32bbb0b691b4,72f40484-f49b-4f82-9a99-d22ec799c523,2024-05-30,60,62,COMPLETED,2024-05-23,2024-05-30
5f29c2f9-bedb-487b-8245-45962f10bce8,691d2da3-3a95-42f4-af6a-57c1f73652fa,2024-05-31,144,142,COMPLETED,2024-05-24,2024-05-31
