visit_id,dealer_id,sales_person_id,visit_date,visit_type,purpose,check_in_time,check_out_time,duration_minutes,check_in_latitude,check_in_longitude,outcome,order_taken,order_id,collection_amount,next_action,next_visit_date,follow_up_required,raw_notes,source,created_at,updated_at
21d96eb6-100d-45fa-b8e4-6a243e1bfa3a,34d40fdb-61b7-4fcd-8fd7-b6266b662296,fe0888ac-3ea5-4fba-846c-2294c69f1659,2024-03-21,DROP_SALE,COLLECTION,2024-03-21 11:24:00,2024-03-21 11:49:00,25,28.740503,77.136909,SUCCESSFUL,0,,5911,Check stock levels,2024-03-25,0,"Quick visit. No order today, stock sufficient. Chai pi aur nikal gaya.",TELEGRAM,2024-03-21 11:24:00,2024-03-21 11:49:00
09468cfe-b282-467c-a85b-ca2a3afdfde9,34d40fdb-61b7-4fcd-8fd7-b6266b662296,fe0888ac-3ea5-4fba-846c-2294c69f1659,2024-03-19,PLANNED,COLLECTION,2024-03-19 10:12:00,2024-03-19 10:57:00,45,28.740725,77.13632,SUCCESSFUL,0,,3922,Follow up for order,2024-03-25,0,Rs 5000 collection kiya. Baki 3500 next week.,TELEGRAM,2024-03-19 10:12:00,2024-03-19 10:57:00
3114ba16-19f2-48b9-826c-e188cd53fb8c,34d40fdb-61b7-4fcd-8fd7-b6266b662296,fe0888ac-3ea5-4fba-846c-2294c69f1659,2024-03-12,PLANNED,RELATIONSHIP,2024-03-12 15:29:00,2024-03-12 16:13:00,44,28.740164,77.136347,SUCCESSFUL,0,,0,Confirm delivery date,2024-03-22,1,"Competitor ka boy bhi aaya tha. Owner ne bola humare rate theek hai, loyal hain.",TELEGRAM,2024-03-12 15:29:00,2024-03-12 16:13:00
4d87e9ba-4d70-4967-9b51-aee5f645310c,34d40fdb-61b7-4fcd-8fd7-b6266b662296,fe0888ac-3ea5-4fba-846c-2294c69f1659,2024-03-16,UNPLANNED,ORDER,2024-03-16 15:02:00,2024-03-16 15:26:00,24,28.739872,77.13654,PARTIALLY_SUCCESSFUL,0,,0,Process replacement,2024-03-23,1,Payment collect kiya Rs 8000 cash. All dues clear. Next order Thursday.,TELEGRAM,2024-03-16 15:02:00,2024-03-16 15:26:00
924aeb37-692f-4846-a9bf-e40b4a1e869e,34d40fdb-61b7-4fcd-8fd7-b6266b662296,fe0888ac-3ea5-4fba-846c-2294c69f1659,2024-03-28,PLANNED,COLLECTION,2024-03-28 14:16:00,2024-03-28 14:57:00,41,28.740596,77.136448,UNSUCCESSFUL,0,,11013,Check stock levels,2024-04-02,1,Festive season stock lena chahte hain. 5 case 500g + 3 case 1kg ka order next week.,TELEGRAM,2024-03-28 14:16:00,2024-03-28 14:57:00
5ad8a71b-79db-4bbc-9439-40e1da311e36,34d40fdb-61b7-4fcd-8fd7-b6266b662296,fe0888ac-3ea5-4fba-846c-2294c69f1659,2024-03-27,DROP_SALE,COMPLAINT,2024-03-27 09:53:00,2024-03-27 10:07:00,14,28.740524,77.136751,UNSUCCESSFUL,0,,0,Process replacement,2024-04-01,0,Met owner's son. Father is unwell. Will follow up next week for order.,TELEGRAM,2024-03-27 09:53:00,2024-03-27 10:07:00
16c1bd95-e008-4434-b28c-7bbdfffdcc73,34d40fdb-61b7-4fcd-8fd7-b6266b662296,fe0888ac-3ea5-4fba-846c-2294c69f1659,2024-03-08,PLANNED,COLLECTION,2024-03-08 14:03:00,2024-03-08 14:43:00,40,28.739863,77.136539,PARTIALLY_SUCCESSFUL,0,,757,Follow up for order,2024-03-11,0,"New month ka order: 3 case 500g, 2 case 1kg. Delivery by Friday. Payment on delivery.",TELEGRAM,2024-03-08 14:03:00,2024-03-08 14:43:00
efd07f4e-99d2-416c-93de-b1ef170f9065,34d40fdb-61b7-4fcd-8fd7-b6266b662296,fe0888ac-3ea5-4fba-846c-2294c69f1659,2024-03-14,PLANNED,RELATIONSHIP,2024-03-14 15:51:00,2024-03-14 16:12:00,21,28.739952,77.136136,SUCCESSFUL,0,,0,Resolve complaint,2024-03-21,0,"New month ka order: 3 case 500g, 2 case 1kg. Delivery by Friday. Payment on delivery.",TELEGRAM,2024-03-14 15:51:00,2024-03-14 16:12:00
56caae9d-e7c8-4f91-9fb9-3573bdc03373,34d40fdb-61b7-4fcd-8fd7-b6266b662296,fe0888ac-3ea5-4fba-846c-2294c69f1659,2024-04-18,DROP_SALE,COLLECTION,2024-04-18 12:44:00,2024-04-18 13:08:00,24,28.740704,77.136641,SUCCESSFUL,0,,14066,Follow up for order,2024-04-22,0,"Kal delivery aaya tha, sab theek hai. 1 case 1kg ka aur order diya hai.",TELEGRAM,2024-04-18 12:44:00,2024-04-18 13:08:00
cc812b98-4497-4048-8b0e-504cfec220b0,34d40fdb-61b7-4fcd-8fd7-b6266b662296,fe0888ac-3ea5-4fba-846c-2294c69f1659,2024-04-02,PLANNED,COLLECTION,2024-04-02 10:31:00,2024-04-02 11:08:00,37,28.740422,77.136845,SUCCESSFUL,0,,5927,Collect payment,2024-04-05,1,Payment pending Rs 12000. Owner ne bola month end pe denge. Reminded about credit limit.,TELEGRAM,2024-04-02 10:31:00,2024-04-02 11:08:00
